algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,97.809619,0.009470,0.173771
P256,98.015191,0.015490,0.147462
P256,97.194883,0.009300,0.199212
P256,98.872760,0.019220,0.276453
P256,98.320434,0.011590,0.168272
P256,97.634667,0.008660,0.200733
P256,97.478527,0.007990,0.182652
P256,97.984530,0.012140,0.355404
P256,97.407043,0.009510,0.130661
P256,97.833950,0.011670,0.213682
P256,97.196011,0.009171,0.165382
P256,97.501144,0.008260,0.166762
P256,97.753348,0.011430,0.154900
P256,97.338272,0.008980,0.174082
P256,96.966120,0.016900,0.183402
P256,98.528786,0.005750,0.153622
P256,99.076412,0.008280,0.193272
P256,97.922769,0.009220,0.146182
P256,97.098151,0.006630,0.170542
P256,97.176021,0.008880,0.219132
P256,97.520314,0.010350,0.221252
P256,98.296194,0.211513,0.145661
P256,98.133890,0.008330,0.178452
P256,97.974441,0.009660,0.185833
P256,97.292833,0.008831,0.152831
P256,98.377234,0.009040,0.207412
P256,98.110179,0.008090,0.175312
P256,98.094050,0.009600,0.234623
P256,97.593135,0.009001,0.185632
P256,98.460506,0.006551,0.146062
P256,96.877467,0.011180,0.198322
P256,97.953308,0.009160,0.178432
P256,96.784856,0.007391,0.141521
P256,97.052569,0.008150,0.158861
P256,97.869179,0.008640,0.174282
P256,97.726639,0.006920,0.154002
P256,98.939511,0.008450,0.242163
P256,97.977261,0.009420,0.182522
P256,97.146281,0.007680,0.150442
P256,96.970479,0.004650,0.139491
P256,96.776266,0.009800,0.179022
P256,99.309254,0.007851,0.175491
P256,98.904167,0.013291,0.186522
P256,97.483525,0.006990,0.160371
P256,98.107412,0.005330,0.147692
P256,98.108382,0.009450,0.127191
P256,98.792768,0.009280,0.185512
P256,97.682695,0.006110,0.148811
P256,97.099049,0.008901,0.165842
P256,98.389678,0.011510,0.159662
P256,98.068110,0.005001,0.160442
P256,98.514896,0.007210,0.155272
P256,97.166636,0.011570,0.371005
P256,97.658506,0.009050,0.206603
P256,97.784617,0.007380,0.181142
P256,98.281848,0.006401,0.153022
P256,97.579456,0.011410,0.158552
P256,97.207212,0.007620,0.193702
P256,97.053418,0.006370,0.157452
P256,97.145207,0.005570,0.133542
P256,97.830512,0.020340,0.185282
P256,97.892719,0.008370,0.146031
P256,98.531147,0.007960,0.189392
P256,98.270324,0.015110,0.167062
P256,97.809406,0.006840,0.149721
P256,98.064292,0.004850,0.168142
P256,97.780591,0.007330,0.209912
P256,97.708086,0.008780,0.381733
P256,97.425093,0.007530,0.148712
P256,97.150835,0.022981,0.212422
P256,97.953308,0.008200,0.176002
P256,98.021169,0.009170,0.179032
P256,98.889853,0.009580,0.180022
P256,97.792749,0.009110,0.165132
P256,97.987379,0.008810,0.149982
P256,98.075920,0.008750,0.157322
P256,96.897937,0.008790,0.148621
P256,97.993620,0.010030,0.205232
P256,97.617243,0.004920,0.155532
P256,97.679055,0.008451,0.183842
P256,96.743924,0.008710,0.203392
P256,97.855833,0.008230,0.182282
P256,97.646535,0.008800,0.152572
P256,97.436242,0.007840,0.158472
P256,98.119630,0.008460,0.182282
P256,97.388861,0.009050,0.255132
P256,99.330824,0.007850,0.181742
P256,97.953358,0.008560,0.162451
P256,98.375754,0.009740,0.184282
P256,98.169935,0.007880,0.154352
P256,97.289291,0.007790,0.169662
P256,98.405893,0.008960,0.170112
P256,97.542535,0.009620,0.159052
P256,97.798066,0.009400,0.189372
P256,98.081060,0.007170,0.163582
P256,99.101691,0.004980,0.137981
P256,97.827589,0.007510,0.152232
P256,97.745875,0.008321,0.171932
P256,97.149559,0.008891,0.150762
P256,97.993118,0.007020,0.412294
P256,97.383154,0.009140,0.360014
P256,98.307542,0.012020,0.128031
P256,96.829055,0.007980,0.162472
P256,97.906047,0.007930,0.183252
P256,99.810249,0.010020,0.157562
P256,97.411804,0.008580,0.173451
P256,97.109242,0.008840,0.172292
P256,96.867737,0.006530,0.163842
P256,97.002710,0.012751,0.156452
P256,99.104810,0.009850,0.187862
P256,98.159801,0.008490,0.241803
P256,99.478114,0.009361,0.419773
P256,97.244683,0.006810,0.195392
P256,97.420203,0.009260,0.158872
P256,96.665984,0.007870,0.159752
P256,97.757732,0.008620,0.201183
P256,98.207697,0.009360,0.187622
